MRC Psycholinguistic Database Output
WORD                     NSYL
FIAR                     1
FIAT                     1
FIEF                     1
FIEL                     1
FIKE                     1
FILE                     1
FILL                     1
FILM                     1
FIND                     1
FINE                     1
FIRK                     1
FIRM                     1
FIRN                     1
FISC                     1
FISH                     1
FISK                     1
FIST                     1
FITZ                     1
FIVE                     1
FIZZ                     1
FLAG                     1
FLAM                     1
FLAN                     1
FLAP                     1
FLAT                     1
FLAW                     1
FLAY                     1
FLEA                     1
FLED                     1
FLEE                     1
FLEW                     1
FLEX                     1
FLIP                     1
FLIT                     1
FLIX                     1
FLOE                     1
FLOG                     1
FLON                     1
FLOP                     1
FLOW                     1
FLUE                     1
FLUX                     1
FOAL                     1
FOAM                     1
FOGE                     1
FOHN                     1
FOIL                     1
FOIN                     1
FOLD                     1
FOLK                     1
FOND                     1
FONE                     1
FONT                     1
FOOD                     1
FOOL                     1
FOOT                     1
FORD                     1
FORE                     1
FORK                     1
FORM                     1
FORT                     1
FOUL                     1
FOUR                     1
FOWL                     1
FRAB                     1
FRAP                     1
FRAY                     1
FREE                     1
FREN                     1
FRET                     1
FRIM                     1
FRIT                     1
FRIZ                     1
FROE                     1
FROG                     1
FROM                     1
FROT                     1
FROW                     1
FRUZ                     1
FUEL                     1
FUFF                     1
FULL                     1
FUME                     1
FUND                     1
FUNK                     1
FURL                     1
FUSE                     1
FUSK                     1
FUSS                     1
FUST                     1
FUZZ                     1
FYKE                     1
FYRD                     1
GADE                     1
GAFF                     1
GAGE                     1
GAIL                     1
GAIN                     1
GAIT                     1
GALE                     1
GALL                     1
GALP                     1
GALT                     1
GAME                     1
GAMP                     1
GANE                     1
GANG                     1
GAOL                     1
GAPE                     1
GARB                     1
GARD                     1
GARE                     1
GASH                     1
GASP                     1
GAST                     1
GATE                     1
GAUD                     1
GAUK                     1
GAUM                     1
GAUR                     1
GAVE                     1
GAWK                     1
GAWN                     1
GAZE                     1
GEAL                     1
GEAN                     1
GEAR                     1
GEAT                     1
GECK                     1
GEER                     1
GEET                     1
GEIC                     1
GEIN                     1
GEIR                     1
GELD                     1
GELT                     1
GENT                     1
GERE                     1
GERM                     1
GESS                     1
GEST                     1
GHEE                     1
GIBE                     1
GIFT                     1
GILD                     1
GILE                     1
GILS                     1
GILT                     1
GIMP                     1
GING                     1
GINN                     1
GIRD                     1
GIRE                     1
GIRL                     1
GIRN                     1
GIRT                     1
GISE                     1
GIST                     1
GITE                     1
GITH                     1
GIVE                     1
GLAD                     1
GLEE                     1
GLEG                     1
GLEW                     1
GLEY                     1
GLIB                     1
GLIM                     1
GLOD                     1
GLOS                     1
GLOW                     1
GLUE                     1
GLUM                     1
GLUT                     1
GLYN                     1
GNAR                     1
GNAT                     1
GNAW                     1
GNEU                     1
GNOW                     1
GOAD                     1
GOAF                     1
GOAL                     1
GOAR                     1
GOAT                     1
GODE                     1
GOEN                     1
GOFF                     1
GOLD                     1
GOLF                     1
GOLL                     1
GOME                     1
GONE                     1
GONG                     1
GOOD                     1
GOOF                     1
GOON                     1
GORE                     1
GOSH                     1
GOSS                     1
GOTE                     1
GOUR                     1
GOWK                     1
GOWL                     1
GOWN                     1
GRAB                     1
GRAF                     1
GRAM                     1
GRAY                     1
GREE                     1
GRES                     1
GRET                     1
GREW                     1
GREY                     1
GRID                     1
GRIG                     1
GRIM                     1
GRIN                     1
GRIP                     1
GRIS                     1
GRIT                     1
GROG                     1
GROT                     1
GROW                     1
GRUB                     1
GRUF                     1
GRUM                     1
GUAN                     1
GUHR                     1
GUIB                     1
GULD                     1
GULE                     1
GULF                     1
GULL                     1
GULP                     1
GULT                     1
GUMP                     1
GURT                     1
GUSH                     1
GUST                     1
GUZE                     1
GYAL                     1
GYBE                     1
GYLE                     1
GYSE                     1
GYTE                     1
GYVE                     1
HAAF                     1
HAAK                     1
HAAR                     1
HACK                     1
HADE                     1
HADJ                     1
HAFT                     1
HAIK                     1
HAIL                     1
HAIN                     1
HAIR                     1
HAIT                     1
HAKE                     1
HALE                     1
HALF                     1
HALL                     1
HALM                     1
HALP                     1
HALT                     1
HAME                     1
HAND                     1
HANG                     1
HANK                     1
HANS                     1
HARD                     1
HARE                     1
HARK                     1
HARL                     1
HARM                     1
HARP                     1
HART                     1
HASH                     1
HASK                     1
HASP                     1
HAST                     1
HATE                     1
HATH                     1
HAUL                     1
HAUM                     1
HAUT                     1
HAVE                     1
HAWK                     1
HAWM                     1
HAZE                     1
HE'S                     1
HEAD                     1
HEAL                     1
HEAP                     1
HEAR                     1
HEAT                     1
HEBE                     1
HECK                     1
HEDE                     1
HEED                     1
HEEL                     1
HEEP                     1
HEER                     1
HEFT                     1
HEIR                     1
HELD                     1
HELE                     1
HELL                     1
HELM                     1
HELP                     1
HEND                     1
HENG                     1
HENT                     1
HERD                     1
HERE                     1
HERL                     1
HERM                     1
HERN                     1
HERS                     1
HERT                     1
HEST                     1
HETE                     1
HEUK                     1
HEWE                     1
HEWN                     1
HEWT                     1
HICK                     1
HIDE                     1
HIGH                     1
HIKE                     1
HILE                     1
HILL                     1
HILT                     1
HIND                     1
HINE                     1
HING                     1
HINT                     1
HIPE                     1
HISH                     1
HISN                     1
HISS                     1
HIST                     1
HIVE                     1
HIZZ                     1
HOAR                     1
HOAX                     1
HOCK                     1
HOEY                     1
HOIK                     1
HOIT                     1
HOLD                     1
HOLE                     1
HOLK                     1
HOLL                     1
HOLM                     1
HOLP                     1
HOLS                     1
HOLT                     1
HOLW                     1
HOME                     1
HOND                     1
HONE                     1
HONG                     1
HONK                     1
HONT                     1
HOOD                     1
HOOF                     1
HOOK                     1
HOOL                     1
HOOM                     1
HOOP                     1
HOOT                     1
HORE                     1
HORN                     1
HORS                     1
HOSE                     1
HOSS                     1
HOTE                     1
HOUT                     1
HOWL                     1
HOYA                     1
HUCK                     1
HUED                     1
HUER                     1
HUFF                     1
HUGE                     1
HUIA                     1
HUKE                     1
HULK                     1
HULL                     1
HUMP                     1
HUNG                     1
HUNK                     1
HUNT                     1
HURE                     1
HURL                     1
HURR                     1
HURT                     1
HUSH                     1
HUSK                     1
HUSS                     1
HUST                     1
HUZZ                     1
HYKE                     1
HYLE                     1
HYMN                     1
HYND                     1
HYNE                     1
HYPT                     1
IDLE                     1
INCH                     1
INDE                     1
INNE                     1
IODE                     1
IRPE                     1
ISLE                     1
IT'S                     1
ITCH                     1
JADE                     1
JAGG                     1
JAIL                     1
JAIN                     1
JAMB                     1
JANT                     1
JAPE                     1
JARK                     1
JARL                     1
JASP                     1
JAUK                     1
JAWN                     1
JAZZ                     1
JEAR                     1
JEEP                     1
JEER                     1
JELL                     1
JERE                     1
JERK                     1
JERT                     1
JEST                     1
JIBE                     1
JILT                     1
JIMP                     1
JINK                     1
JINN                     1
JOBE                     1
JOIN                     1
JOKE                     1
JOLE                     1
JOLT                     1
JOSS                     1
JOUK                     1
JOUL                     1
JOWL                     1
JUBE                     1
JUKE                     1
JUMP                     1
JUNK                     1
JUPE                     1
JUST                     1
